Player,Runs
A Ashish Reddy,280
A Badoni,634
A Chandila,4
A Chopra,53
A Choudhary,25
A Dananjaya,4
A Flintoff,62
A Kamboj,2
A Kumble,35
A Manohar,231
A Mishra,381
A Mithun,34
A Mukund,19
A Nehra,41
A Nortje,49
A Raghuvanshi,163
A Singh,2
A Symonds,974
A Tomar,4
A Uniyal,4
A Zampa,15
AA Bilakhia,69
AA Chavan,12
AA Jhunjhunwala,217
AA Kulkarni,9
AA Noffke,9
AB Agarkar,179
AB Barath,42
AB Dinda,26
AB McDonald,123
AB de Villiers,5181
AC Blizzard,120
AC Gilchrist,2069
AC Thomas,20
AC Voges,181
AD Hales,148
AD Mascarenhas,79
AD Mathews,724
AD Nath,90
AD Russell,2488
AF Milne,23
AG Murtaza,10
AG Paunikar,49
AJ Finch,2092
AJ Hosein,16
AJ Turner,24
AJ Tye,91
AK Markram,995
AL Menaria,401
AM Nayar,672
AM Rahane,4642
AN Ahmed,36
AN Ghosh,7
AP Dole,34
AP Majumdar,87
AP Tare,339
AR Bawne,12
AR Patel,1653
AS Joseph,27
AS Rajpoot,26
AS Raut,194
AS Roy,26
AS Yadav,49
AT Carey,32
AT Rayudu,4348
AU Rashid,22
AUK Pathan,39
Abdul Basith,1
Abdul Samad,579
Abdur Razzak,0
Abhishek Sharma,1377
Abishek Porel,360
Akash Deep,19
Akash Madhwal,4
Aman Hakim Khan,115
Anirudh Singh,63
Ankit Sharma,87
Ankit Soni,7
Anmolpreet Singh,139
Anuj Rawat,318
Anureet Singh,36
Arjun Tendulkar,13
Arshad Khan,96
Arshad Khan (2),5
Arshdeep Singh,29
Ashutosh Sharma,189
Atharva Taide,247
Avesh Khan,41
Azhar Mahmood,388
Azmatullah Omarzai,42
B Akhil,76
B Chipli,280
B Indrajith,21
B Kumar,306
B Laughlin,5
B Lee,124
B Sai Sudharsan,1034
B Stanlake,5
B Sumanth,35
BA Bhatt,6
BA Stokes,935
BAW Mendis,3
BB McCullum,2882
BB Samantray,125
BB Sran,10
BCJ Cutting,238
BE Hendricks,1
BJ Haddin,18
BJ Hodge,1400
BJ Rohrer,193
BMAJ Mendis,23
BR Dunk,40
BR Sharath,2
Basil Thampi,32
Bipul Sharma,187
C Green,707
C Madan,15
C Munro,177
C Nanda,0
C Sakariya,20
C de Grandhomme,303
CA Ingram,205
CA Lynn,1329
CA Pujara,390
CH Gayle,4997
CH Morris,618
CJ Anderson,538
CJ Ferguson,98
CJ Jordan,81
CJ McKay,8
CK Kapugedera,16
CK Langeveldt,8
CL White,971
CM Gautam,169
CR Brathwaite,181
CR Woakes,78
CRD Fernando,4
CV Varun,25
D Brevis,230
D Ferreira,8
D Kalyankrishna,3
D Padikkal,1559
D Pretorius,44
D Salunkhe,33
D Wiese,148
D du Preez,10
DA Miller,2924
DA Warner,6567
DAJ Bracewell,12
DB Das,304
DB Ravi Teja,375
DE Bollinger,21
DG Nalkande,12
DH Yagnik,170
DJ Bravo,1560
DJ Harris,111
DJ Hooda,1466
DJ Hussey,1322
DJ Jacobs,92
DJ Malan,26
DJ Mitchell,351
DJ Muthuswami,1
DJ Thornely,39
DJ Willey,53
DJG Sammy,295
DJM Short,115
DL Chahar,80
DL Vettori,121
DM Bravo,6
DNT Zoysa,11
DP Conway,924
DP Nannes,4
DP Vijaykumar,1
DPMD Jayawardene,1808
DR Martyn,19
DR Sams,44
DR Shorey,13
DR Smith,2385
DS Kulkarni,104
DS Lehmann,18
DT Christian,460
DT Patil,13
DW Steyn,167
Dhruv Jurel,347
E Lewis,654
EJG Morgan,1406
ER Dwivedi,24
F Behardien,14
F du Plessis,4571
FA Allen,14
FH Edwards,4
FY Fazal,183
Fazalhaq Farooqi,3
G Coetzee,14
G Gambhir,4217
GB Hogg,22
GC Smith,739
GC Viljoen,3
GD McGrath,4
GD Phillips,65
GH Vihari,284
GHS Garton,2
GJ Bailey,663
GJ Maxwell,2772
GR Napier,15
Gulbadin Naib,19
Gurkeerat Singh,511
H Das,2
H Klaasen,993
HC Brook,190
HE van der Dussen,22
HF Gurney,1
HH Gibbs,886
HH Pandya,2534
HM Amla,577
HR Shokeen,66
HV Patel,249
Harbhajan Singh,833
Harmeet Singh,18
Harpreet Brar,233
Harpreet Singh,123
Harshit Rana,2
I Malhotra,7
I Sharma,57
I Udana,15
IC Pandey,0
IK Pathan,1150
IR Jaggi,76
IS Sodhi,7
Imran Tahir,33
Iqbal Abdulla,88
Ishan Kishan,2644
J Arunkumar,23
J Botha,409
J Fraser-McGurk,330
J Suchith,70
J Syed Mohammad,29
J Theron,10
J Yadav,40
JA Morkel,975
JA Richardson,17
JC Archer,199
JC Buttler,3583
JD Ryder,604
JD Unadkat,197
JDP Oram,106
JDS Neesham,92
JE Root,10
JE Taylor,3
JEC Franklin,327
JH Kallis,2427
JJ Bumrah,68
JJ Roy,614
JJ van der Wath,18
JL Denly,0
JL Pattinson,15
JM Bairstow,1589
JM Kemp,26
JM Sharma,730
JO Holder,259
JP Behrendorff,6
JP Duminy,2029
