Player,Fours
S Dhawan,768
V Kohli,708
DA Warner,663
RG Sharma,599
SK Raina,506
G Gambhir,492
RV Uthappa,481
AM Rahane,479
KD Karthik,466
F du Plessis,422
AB de Villiers,414
CH Gayle,408
KL Rahul,400
SA Yadav,385
SR Watson,377
PA Patel,365
MS Dhoni,363
AT Rayudu,359
JC Buttler,356
SV Samson,352
MK Pandey,335
V Sehwag,334
Q de Kock,316
Shubman Gill,310
RR Pant,298
WP Saha,296
SR Tendulkar,296
BB McCullum,293
SS Iyer,272
R Dravid,269
SE Marsh,269
MA Agarwal,265
YK Pathan,263
JH Kallis,255
Ishan Kishan,255
M Vijay,247
DR Smith,245
AC Gilchrist,239
PP Shaw,238
N Rana,234
GJ Maxwell,233
SPD Smith,226
RA Tripathi,223
KA Pollard,221
Yuvraj Singh,218
RD Gaikwad,217
RA Jadeja,215
AJ Finch,214
DA Miller,207
DPMD Jayawardene,200
YBK Jaiswal,199
MEK Hussey,198
KC Sangakkara,195
HH Pandya,189
KS Williamson,187
Mandeep Singh,176
AD Russell,171
D Padikkal,170
JM Bairstow,166
SP Narine,164
KK Nair,161
MK Tiwary,156
S Badrinath,154
MP Stoinis,150
KH Pandya,144
TM Dilshan,140
SC Ganguly,137
CA Lynn,132
Abhishek Sharma,128
JP Duminy,126
BJ Hodge,122
ML Hayden,121
NV Ojha,121
VR Iyer,121
DJ Bravo,120
N Pooran,113
EJG Morgan,112
SS Tiwary,111
LMP Simmons,109
AR Patel,107
M Vohra,104
KM Jadhav,102
DP Conway,100
DJ Hooda,96
B Sai Sudharsan,95
MM Ali,95
GC Smith,94
MS Bisla,93
KP Pietersen,91
DJ Hussey,90
Tilak Varma,90
IK Pathan,88
MC Henriques,87
S Dube,86
ST Jayasuriya,84
R Tewatia,84
R Parag,84
HH Gibbs,83
BA Stokes,81
V Shankar,80
Harbhajan Singh,79
P Simran Singh,78
Y Venugopal Rao,77
TM Head,76
SO Hetmyer,76
CL White,76
JJ Roy,75
PD Salt,74
A Symonds,74
SM Curran,74
AK Markram,73
Shakib Al Hasan,73
JD Ryder,69
RK Singh,67
LRPL Taylor,66
STR Binny,66
LS Livingstone,66
SN Khan,63
E Lewis,62
C Green,62
R Ashwin,61
PC Valthaty,61
JA Morkel,61
HM Amla,60
GJ Bailey,59
SA Asnodkar,56
H Klaasen,56
PP Chawla,56
Gurkeerat Singh,55
AM Nayar,55
TL Suman,55
JM Sharma,53
RM Patidar,51
CA Pujara,50
JR Hopes,49
MR Marsh,48
A Badoni,46
MJ Lumb,45
RR Rossouw,45
AD Mathews,44
M Manhas,43
CH Morris,41
AP Tare,40
CJ Anderson,40
SW Billings,40
Azhar Mahmood,39
Rashid Khan,39
J Botha,39
RS Bopara,39
KR Mayers,38
TH David,38
Abishek Porel,37
Abdul Samad,37
JP Faulkner,36
DB Ravi Teja,35
M Shahrukh Khan,35
S Sohal,34
OA Shah,34
PJ Cummins,33
VVS Laxman,33
MK Lomror,33
LR Shukla,33
Shashank Singh,33
SP Goswami,32
UBT Chand,32
N Wadhera,32
Washington Sundar,32
