Team,Matches_Played,Wins,Win_Percentage
Chennai Super Kings,238,138,57.98
Deccan Chargers,75,29,38.67
Delhi Capitals,91,48,52.75
Delhi Daredevils,161,67,41.61
Gujarat Lions,30,13,43.33
Gujarat Titans,45,28,62.22
Kings XI Punjab,190,88,46.32
Kochi Tuskers Kerala,14,6,42.86
Kolkata Knight Riders,251,131,52.19
Lucknow Super Giants,44,24,54.55
Mumbai Indians,261,144,55.17
Pune Warriors,46,12,26.09
Punjab Kings,56,24,42.86
Rajasthan Royals,221,112,50.68
Rising Pune Supergiant,16,10,62.5
Rising Pune Supergiants,14,5,35.71
Royal Challengers Bangalore,240,116,48.33
Royal Challengers Bengaluru,15,7,46.67
Sunrisers Hyderabad,182,88,48.35
